Title,Artist,Top_genre,Year,Bpm,Nrgy,Dnce,DB,Live,Val,Dur,Acous,Spch,Popularity,Country
Una Cerveza,Rafaga,cumbia chilena,2016,98,91,75,-2,9,76,241,32,5,67,argentina
El Hijo Ausente,Pastor Lopez,cumbia,2012,107,73,76,-6,13,85,173,63,6,54,colombia
El Jornalero ,Lisandro Meza,cumbia,2001,95,72,85,-5,16,96,244,7,6,49,colombia
En Barranquilla Me Quedo,Joe Arroyo,cumbia,2009,104,79,62,-6,9,75,312,18,5,63,colombia
Golpe Con Golpe,Pastor Lopez,cumbia,2012,102,62,75,-7,6,97,214,60,6,53,colombia
La Burrita,Los Corraleros De Majagual,cumbia,2012,127,63,86,-5,8,95,157,46,10,51,colombia
La Noche,Joe Arroyo,cumbia,1999,106,68,73,-5,6,83,264,25,4,55,colombia
Las Calenas,Pastor Lopez Y Su Combo,cumbia,2010,204,74,55,-7,8,94,212,34,10,48,colombia
Las Cuatro Fiestas,Diomedes Diaz,cumbia,2006,131,92,51,-5,15,97,275,16,26,54,colombia
Los sabanales,Calixto Ochoa,cumbia,1971,124,70,80,-6,3,78,162,10,4,58,colombia
Sorbito De Champagne,Pastor Lopez,cumbia,2006,112,79,79,-4,4,70,211,64,4,45,colombia
Traicionera,Pastor Lopez,cumbia,2012,130,59,78,-5,19,96,215,53,4,55,colombia
"10,000 Hours",Dan + Shay,contemporary country,2019,90,63,65,-5,11,43,168,15,3,93,indonesia
"10,000 Hours",Dan + Shay,contemporary country,2019,90,63,65,-5,11,43,168,15,3,93,malasya
"Baby, It's Cold Outside",Brett Eldredge,contemporary country,2016,114,57,58,-5,27,68,174,74,4,85,canada
A Donde Vamos,Morat,colombian pop,2019,149,61,63,-13,23,96,203,1,4,77,spain
Aventurero,Yeison Jimenez,colombian pop,2019,93,63,85,-4,13,90,190,51,3,54,colombia
Detente,Mike Bahia,colombian pop,2019,172,59,74,-5,11,36,182,27,35,77,bolivia
Dulce Pecado,Jessi Uribe,colombian pop,2019,176,51,64,-4,13,77,175,61,5,63,colombia
La Dificil,Camilo,colombian pop,2019,65,36,68,-7,16,55,159,67,11,71,bolivia
Pa' Olvidarme De Ella,Piso 21,colombian pop,2019,90,54,73,-5,14,64,227,26,5,87,bolivia
Pa' Olvidarme De Ella,Piso 21,colombian pop,2019,90,54,73,-5,14,64,227,26,5,87,colombia
Te Quemaste,Manuel Turizo,colombian pop,2019,176,77,73,-2,29,72,199,61,13,85,spain
Te Vi,Piso 21,colombian pop,2018,102,78,88,-4,9,71,232,4,12,85,bolivia
Tutu,Camilo,colombian pop,2019,146,83,73,-3,7,94,179,27,5,90,argentina
Tutu,Camilo,colombian pop,2019,146,83,73,-3,7,94,179,27,5,90,bolivia
Tutu,Camilo,colombian pop,2019,146,83,73,-3,7,94,179,27,5,90,colombia
Tutu,Camilo,colombian pop,2019,146,83,73,-3,7,94,179,27,5,90,chile
Una Vida Para Recordar,Piso 21,colombian pop,2019,182,78,70,-3,12,48,215,7,20,81,bolivia
Ve'Eem Tavo'ee Elay ,Idan Raichel,classic israeli pop,2019,112,88,73,-5,10,23,213,50,3,43,israel
Adonay,Rodolfo Aicardi,classic colombian pop,2014,118,66,76,-6,6,97,187,67,5,54,colombia
Carinito,Rodolfo Aicardi,classic colombian pop,2012,106,57,68,-6,8,95,227,82,3,53,colombia
Daniela,Rodolfo Aicardi,classic colombian pop,2012,142,56,62,-7,18,93,198,52,3,51,colombia
Ojitos Hechiceros,Rodolfo Aicardi,classic colombian pop,2012,107,69,79,-7,14,62,220,11,4,52,colombia
Tabaco y Ron,Rodolfo Aicardi,classic colombian pop,2012,103,77,76,-7,11,96,243,18,4,54,colombia
Vispera de Ano Nuevo,Guillermo Buitrago,classic colombian pop,2012,100,83,60,-6,8,98,150,85,13,49,colombia
Loquito por Ti,Armando Hernandez,chicha,2012,107,76,79,-4,5,86,287,41,12,54,colombia
This Christmas,Donny Hathaway,chicago soul,1971,93,65,63,-9,25,68,231,29,4,59,belgium
This Christmas,Donny Hathaway,chicago soul,1971,93,65,63,-9,25,68,231,29,4,59,usa
Bandit,Juice WRLD,chicago rap,2019,180,63,47,-6,13,43,189,7,34,94,usa
Lucid Dreams,Juice WRLD,chicago rap,2018,84,57,51,-7,34,22,240,35,20,94,indonesia
Lucid Dreams,Juice WRLD,chicago rap,2018,84,57,51,-7,34,22,240,35,20,94,israel
Lucid Dreams,Juice WRLD,chicago rap,2018,84,57,51,-7,34,22,240,35,20,94,malasya
Petit Papa Noel,Tino Rossi,chanson,1998,105,31,33,-9,6,42,196,99,3,61,france
Fairytale of New York,The Pogues,celtic punk,1988,119,65,32,-6,24,47,272,50,3,86,world
Fairytale of New York,The Pogues,celtic punk,1988,119,65,32,-6,24,47,272,50,3,86,australia
Fairytale of New York,The Pogues,celtic punk,1988,119,65,32,-6,24,47,272,50,3,86,belgium
Fairytale of New York,The Pogues,celtic punk,1988,119,65,32,-6,24,47,272,50,3,86,canada
Happy Xmas ,Celine Dion,canadian pop,1998,172,60,34,-5,28,16,255,45,3,82,italy
Mistletoe,Justin Bieber,canadian pop,2011,162,56,66,-9,8,85,183,50,5,92,world
Mistletoe,Justin Bieber,canadian pop,2011,162,56,66,-9,8,85,183,50,5,92,africa
Mistletoe,Justin Bieber,canadian pop,2011,162,56,66,-9,8,85,183,50,5,92,australia
Mistletoe,Justin Bieber,canadian pop,2011,162,56,66,-9,8,85,183,50,5,92,belgium
Mistletoe,Justin Bieber,canadian pop,2011,162,56,66,-9,8,85,183,50,5,92,canada
Mistletoe,Justin Bieber,canadian pop,2011,162,56,66,-9,8,85,183,50,5,92,germany
Mistletoe,Justin Bieber,canadian pop,2011,162,56,66,-9,8,85,183,50,5,92,usa
Mistletoe,Justin Bieber,canadian pop,2011,162,56,66,-9,8,85,183,50,5,92,italy
Mistletoe,Justin Bieber,canadian pop,2011,162,56,66,-9,8,85,183,50,5,92,malasya
Senorita,Shawn Mendes,canadian pop,2019,117,55,76,-6,8,75,191,4,3,89,world
Senorita,Shawn Mendes,canadian pop,2019,117,55,76,-6,8,75,191,4,3,89,africa
Senorita,Shawn Mendes,canadian pop,2019,117,55,76,-6,8,75,191,4,3,89,argentina
Senorita,Shawn Mendes,canadian pop,2019,117,55,76,-6,8,75,191,4,3,89,belgium
Senorita,Shawn Mendes,canadian pop,2019,117,55,76,-6,8,75,191,4,3,89,bolivia
Senorita,Shawn Mendes,canadian pop,2019,117,55,76,-6,8,75,191,4,3,89,colombia
Senorita,Shawn Mendes,canadian pop,2019,117,55,76,-6,8,75,191,4,3,89,france
Senorita,Shawn Mendes,canadian pop,2019,117,55,76,-6,8,75,191,4,3,89,india
Senorita,Shawn Mendes,canadian pop,2019,117,55,76,-6,8,75,191,4,3,89,indonesia
Senorita,Shawn Mendes,canadian pop,2019,117,55,76,-6,8,75,191,4,3,89,israel
Senorita,Shawn Mendes,canadian pop,2019,117,55,76,-6,8,75,191,4,3,89,malasya
It's You,Ali Gatie,canadian hip hop,2019,96,46,73,-7,19,40,213,37,3,90,indonesia
It's You,Ali Gatie,canadian hip hop,2019,96,46,73,-7,19,40,213,37,3,90,malasya
Blinding Lights,The Weeknd,canadian contemporary r&b,2019,171,80,51,-4,9,35,202,0,6,96,world
Blinding Lights,The Weeknd,canadian contemporary r&b,2019,171,80,51,-4,9,35,202,0,6,96,belgium
Blinding Lights,The Weeknd,canadian contemporary r&b,2019,171,80,51,-4,9,35,202,0,6,96,germany
Blinding Lights,The Weeknd,canadian contemporary r&b,2019,171,80,51,-4,9,35,202,0,6,96,france
Blinding Lights,The Weeknd,canadian contemporary r&b,2019,171,80,51,-4,9,35,202,0,6,96,india
Blinding Lights,The Weeknd,canadian contemporary r&b,2019,171,80,51,-4,9,35,202,0,6,96,israel
Blinding Lights,The Weeknd,canadian contemporary r&b,2019,171,80,51,-4,9,35,202,0,6,96,malasya
Heartless,The Weeknd,canadian contemporary r&b,2019,170,75,53,-6,12,20,200,1,11,94,india
Ela Vem,MC G15,brega funk,2019,185,63,62,-7,7,59,197,62,55,81,brazil
Hit Contagiante,Felipe Original,brega funk,2019,170,68,82,-7,9,96,137,13,12,84,brazil
Surtada Brega Funk,Dada Boladao,brega funk,2019,154,55,83,-7,18,88,153,25,6,86,brazil
Quando a vontade bater,Pk,brazilian edm,2019,150,70,62,-6,15,70,166,54,25,82,brazil
Like It's Christmas,Jonas Brothers,boy band,2019,146,57,73,-6,5,61,201,2,10,87,canada
Like It's Christmas,Jonas Brothers,boy band,2019,146,57,73,-6,5,61,201,2,10,87,usa
Blanca Navidad,Luis Miguel,bolero,2006,90,40,36,-11,7,18,212,73,3,67,chile
"Navidad, Navidad",Luis Miguel,bolero,2006,173,84,52,-4,16,75,155,36,15,69,chile
Santa Claus Llego a La Ciudad,Luis Miguel,bolero,2006,170,85,52,-2,33,72,116,38,19,70,chile
Run Rudolph Run ,Chuck Berry,blues rock,1986,152,72,68,-11,8,96,166,81,9,87,world
Run Rudolph Run ,Chuck Berry,blues rock,1986,152,72,68,-11,8,96,166,81,9,87,australia
Run Rudolph Run ,Chuck Berry,blues rock,1986,152,72,68,-11,8,96,166,81,9,87,canada
Run Rudolph Run ,Chuck Berry,blues rock,1986,152,72,68,-11,8,96,166,81,9,87,usa
Hauli Hauli,Garry Sandhu,bhangra,2019,95,98,71,-3,34,57,209,2,8,56,india
Oui ou non,Angele,belgian pop,2019,200,57,65,-8,16,36,197,64,14,79,france
Gasolina ,Hamza,belgian hip hop,2019,130,61,95,-8,12,72,179,28,19,52,france
God Bless ,Hamza,belgian hip hop,2019,83,57,86,-10,6,23,162,1,12,57,france
Pookie,Aya Nakamura,basshall,2019,98,62,84,-7,10,51,188,6,13,78,italy
Little Saint Nick ,The Beach Boys,baroque pop,1964,131,55,60,-9,5,97,119,11,3,83,australia
Little Saint Nick ,The Beach Boys,baroque pop,1964,131,55,60,-9,5,97,119,11,3,83,usa
Chama Ela ,Lexa,baile pop,2019,150,84,89,-2,6,96,120,46,15,83,brazil
Combatchy ,Anitta,baile pop,2019,150,73,83,-3,2,61,158,38,8,86,brazil
Invocada,Ludmilla,baile pop,2019,135,86,78,-4,93,70,157,48,5,82,brazil
SENTADaO,Pedro Sampaio,baile pop,2019,174,87,68,-2,22,92,143,18,6,83,brazil
Some que ele vem atras,Anitta,baile pop,2019,180,80,65,-6,38,60,195,7,17,84,brazil
Verdinha,Ludmilla,baile pop,2019,138,95,85,-4,12,63,160,35,12,81,brazil
Contatinho,Leo Santana,axe,2019,152,93,79,-5,95,81,173,22,8,82,brazil
Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,world
Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,africa
Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,argentina
Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,australia
Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,belgium
Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,bolivia
Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,brazil
Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,canada
Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,germany
Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,colombia
Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,chile
Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,spain
Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,france
Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,indonesia
Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,israel
Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,italy
Dance Monkey,Tones and I,australian pop,2019,98,59,82,-6,15,51,209,69,9,100,malasya
Never Seen The Rain,Tones and I,australian pop,2019,92,46,67,-6,28,27,201,43,4,81,australia
How to Make Gravy,Paul Kelly,australian alternative rock,2019,95,72,40,-7,25,39,269,6,4,45,australia
El Bombon,Los Palmeras,argentine rock,2016,164,77,74,-5,8,87,204,20,6,63,argentina
La Cola,Los Palmeras,argentine rock,2016,93,79,78,-5,12,87,169,36,6,63,argentina
Ocho Cuarenta,Rodrigo,argentine rock,1998,148,70,61,-10,30,85,355,8,3,64,argentina
Olvidala,Los Palmeras,argentine rock,2004,132,69,77,-5,27,52,290,31,5,65,argentina
Soy Sabalero,Los Palmeras,argentine rock,2019,132,85,78,-5,8,85,180,8,6,68,argentina
CANGURO,WOS,argentine indie,2019,164,75,60,-4,67,93,197,17,33,73,argentina
Adan y Eva,Paulo Londra,argentine hip hop,2019,172,71,77,-4,7,72,257,32,34,76,bolivia
C90,John C,argentine hip hop,2019,123,76,87,-5,7,61,316,34,9,72,argentina
Goteo,Duki,argentine hip hop,2019,108,78,47,-4,19,44,164,19,4,73,argentina
Goteo,Duki,argentine hip hop,2019,108,78,47,-4,19,44,164,19,4,73,spain
Tal Vez,Paulo Londra,argentine hip hop,2019,162,65,86,-2,8,74,264,25,15,80,argentina
Tal Vez,Paulo Londra,argentine hip hop,2019,162,65,86,-2,8,74,264,25,15,80,bolivia
115,Official HIGE DANdism,anime rock,2018,97,79,51,-2,14,48,325,0,3,71,japan
Gurenge,LiSA,anime rock,2019,135,98,55,-3,8,31,239,0,15,73,japan
Machigaisagashi,Masaki Suda,anime rock,2019,156,64,53,-6,39,44,224,52,4,53,japan
Pretender,Official HIGE DANdism,anime rock,2019,92,87,54,-3,14,37,327,5,3,56,japan
Sayonara Elegy,Masaki Suda,anime rock,2018,155,93,47,-3,28,62,257,0,5,51,japan
Shukumei,Official HIGE DANdism,anime rock,2019,164,58,55,-6,11,49,281,2,3,53,japan
Stand By You,Official HIGE DANdism,anime rock,2019,154,87,61,-5,28,63,256,1,4,49,japan
Yesterday,Official HIGE DANdism,anime rock,2019,130,80,54,-4,40,56,299,4,4,55,japan
Labantwana Ama Uber,Semi Tee,amapiano,2019,112,62,87,-10,5,53,384,4,8,52,africa
Falling,Trevor Daniel,alternative r&b,2018,127,43,78,-9,9,24,159,12,4,97,world
Falling,Trevor Daniel,alternative r&b,2018,127,43,78,-9,9,24,159,12,4,97,australia
Falling,Trevor Daniel,alternative r&b,2018,127,43,78,-9,9,24,159,12,4,97,germany
Falling,Trevor Daniel,alternative r&b,2018,127,43,78,-9,9,24,159,12,4,97,usa
Falling,Trevor Daniel,alternative r&b,2018,127,43,78,-9,9,24,159,12,4,97,india
Falling,Trevor Daniel,alternative r&b,2018,127,43,78,-9,9,24,159,12,4,97,indonesia
Falling,Trevor Daniel,alternative r&b,2018,127,43,78,-9,9,24,159,12,4,97,israel
Falling,Trevor Daniel,alternative r&b,2018,127,43,78,-9,9,24,159,12,4,97,italy
Falling,Trevor Daniel,alternative r&b,2018,127,43,78,-9,9,24,159,12,4,97,malasya
2000 Miles - 2007 Remaster,Pretenders,album rock,1984,66,71,22,-9,10,45,220,0,4,78,australia
Christmas Time,Bryan Adams,album rock,2019,77,58,50,-4,10,32,243,47,3,72,germany
Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,180,58,51,-11,18,87,242,36,4,83,world
Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,180,58,51,-11,18,87,242,36,4,83,australia
Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,180,58,51,-11,18,87,242,36,4,83,belgium
Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,180,58,51,-11,18,87,242,36,4,83,canada
Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,180,58,51,-11,18,87,242,36,4,83,germany
Happy Xmas ,John Lennon,album rock,2010,147,61,33,-11,77,40,214,32,3,92,world
Happy Xmas ,John Lennon,album rock,2010,147,61,33,-11,77,40,214,32,3,92,africa
Happy Xmas ,John Lennon,album rock,2010,147,61,33,-11,77,40,214,32,3,92,australia
Happy Xmas ,John Lennon,album rock,2010,147,61,33,-11,77,40,214,32,3,92,belgium
Happy Xmas ,John Lennon,album rock,2010,147,61,33,-11,77,40,214,32,3,92,canada
Happy Xmas ,John Lennon,album rock,2010,147,61,33,-11,77,40,214,32,3,92,germany
Happy Xmas ,John Lennon,album rock,2010,147,61,33,-11,77,40,214,32,3,92,usa
Happy Xmas ,John Lennon,album rock,2010,147,61,33,-11,77,40,214,32,3,92,italy
Happy Xmas ,John Lennon,album rock,2010,147,61,33,-11,77,40,214,32,3,92,japan
Jingle Bell Rock ,Daryl Hall & John Oates,album rock,1983,129,84,67,-4,11,84,126,61,3,88,world
Jingle Bell Rock ,Daryl Hall & John Oates,album rock,1983,129,84,67,-4,11,84,126,61,3,88,africa
Jingle Bell Rock ,Daryl Hall & John Oates,album rock,1983,129,84,67,-4,11,84,126,61,3,88,australia
Jingle Bell Rock ,Daryl Hall & John Oates,album rock,1983,129,84,67,-4,11,84,126,61,3,88,belgium
Jingle Bell Rock ,Daryl Hall & John Oates,album rock,1983,129,84,67,-4,11,84,126,61,3,88,canada
Jingle Bell Rock,Daryl Hall & John Oates,album rock,1983,129,84,67,-4,11,84,126,61,3,88,germany
Merry Xmas Everybody,Slade,album rock,1973,130,80,41,-3,18,47,223,22,4,79,germany
Wonderful Christmastime,Paul McCartney,album rock,1980,95,51,77,-9,7,77,228,32,3,91,world
Wonderful Christmastime,Paul McCartney,album rock,1980,95,51,77,-9,7,77,228,32,3,91,africa
Wonderful Christmastime,Paul McCartney,album rock,1980,95,51,77,-9,7,77,228,32,3,91,belgium
Wonderful Christmastime,Paul McCartney,album rock,1980,95,51,77,-9,7,77,228,32,3,91,canada
Wonderful Christmastime,Paul McCartney,album rock,1980,95,51,77,-9,7,77,228,32,3,91,germany
Wonderful Christmastime,Paul McCartney,album rock,1980,95,51,77,-9,7,77,228,32,3,91,usa
Wonderful Christmastime,Paul McCartney,album rock,1980,95,51,77,-9,7,77,228,32,3,91,italy
Akulaleki,Samthing Soweto,afro house,2019,116,67,90,-9,6,34,382,14,9,45,africa
Lorch,Kabza De Small,afro house,2019,113,68,91,-10,7,41,375,17,6,50,africa
Love You Tonight ,Mfr Souls,afro house,2019,115,68,82,-8,6,68,353,5,5,37,africa
Nana Thula,Kabza De Small,afro house,2019,114,52,77,-14,4,59,439,0,5,52,africa
Sandton,Kabza De Small,afro house,2019,113,63,88,-12,10,59,412,15,15,45,africa
Sukendleleni,Jobe London,afro house,2019,112,72,88,-6,5,24,415,5,5,50,africa
Tender Love,Sha Sha,afro house,2019,113,39,85,-14,5,45,444,1,6,53,africa
Vula Vala,DJ Maphorisa,afro house,2019,113,59,91,-11,8,14,374,2,6,52,africa
A Holly Jolly Christmas ,Burl Ives,adult standards,1998,140,37,67,-13,10,86,133,59,3,83,world
A Holly Jolly Christmas ,Burl Ives,adult standards,1998,140,37,67,-13,10,86,133,59,3,83,africa
A Holly Jolly Christmas ,Burl Ives,adult standards,1998,140,37,67,-13,10,86,133,59,3,83,australia
A Holly Jolly Christmas ,Burl Ives,adult standards,1998,140,37,67,-13,10,86,133,59,3,83,belgium
A Holly Jolly Christmas ,Burl Ives,adult standards,1998,140,37,67,-13,10,86,133,59,3,83,canada
A Holly Jolly Christmas ,Burl Ives,adult standards,1998,140,37,67,-13,10,86,133,59,3,83,usa
"Baby, It's Cold Outside",Dean Martin,adult standards,1959,130,20,47,-16,5,54,144,88,6,79,canada
"Baby, It's Cold Outside",Dean Martin,adult standards,1959,130,20,47,-16,5,54,144,88,6,79,usa
Blue Christmas,Elvis Presley,adult standards,1957,95,27,47,-17,14,58,129,90,4,87,world
Blue Christmas,Elvis Presley,adult standards,1957,95,27,47,-17,14,58,129,90,4,87,africa
Blue Christmas,Elvis Presley,adult standards,1957,95,27,47,-17,14,58,129,90,4,87,australia
Blue Christmas,Elvis Presley,adult standards,1957,95,27,47,-17,14,58,129,90,4,87,belgium
Blue Christmas,Elvis Presley,adult standards,1957,95,27,47,-17,14,58,129,90,4,87,canada
Blue Christmas,Elvis Presley,adult standards,1957,95,27,47,-17,14,58,129,90,4,87,usa
Christmas,Darlene Love,adult standards,2019,126,76,34,-7,8,36,166,39,5,82,world
Christmas,Darlene Love,adult standards,2019,126,76,34,-7,8,36,166,39,5,82,africa
Christmas,Darlene Love,adult standards,2019,126,76,34,-7,8,36,166,39,5,82,belgium
Christmas,Darlene Love,adult standards,2019,126,76,34,-7,8,36,166,39,5,82,canada
Christmas,Darlene Love,adult standards,2019,126,76,34,-7,8,36,166,39,5,82,usa
Christmas Time Is Here,Vince Guaraldi Trio,adult standards,1965,75,14,39,-20,10,9,166,98,3,75,usa
Do You Hear What I Hear? ,Bing Crosby,adult standards,2006,102,25,57,-15,20,41,166,81,3,84,canada
Do You Hear What I Hear? ,Bing Crosby,adult standards,2006,102,25,57,-15,20,41,166,81,3,84,usa
Have Yourself A Merry Little Christmas,Ella Fitzgerald,adult standards,1960,112,25,61,-9,22,48,176,96,4,73,australia
Have Yourself A Merry Little Christmas,Judy Garland,adult standards,1944,181,18,16,-15,26,11,162,97,4,79,usa
Holly Jolly Christmas,Michael Buble,adult standards,2011,151,43,61,-9,9,74,122,86,4,82,world
Holly Jolly Christmas,Michael Buble,adult standards,2011,151,43,61,-9,9,74,122,86,4,82,africa
Holly Jolly Christmas,Michael Buble,adult standards,2011,151,43,61,-9,9,74,122,86,4,82,australia
Holly Jolly Christmas,Michael Buble,adult standards,2011,151,43,61,-9,9,74,122,86,4,82,belgium
Holly Jolly Christmas,Michael Buble,adult standards,2011,151,43,61,-9,9,74,122,86,4,82,canada
Holly Jolly Christmas,Michael Buble,adult standards,2011,151,43,61,-9,9,74,122,86,4,82,chile
Holly Jolly Christmas,Michael Buble,adult standards,2011,151,43,61,-9,9,74,122,86,4,82,usa
Holly Jolly Christmas,Michael Buble,adult standards,2011,151,43,61,-9,9,74,122,86,4,82,france
Holly Jolly Christmas,Michael Buble,adult standards,2011,151,43,61,-9,9,74,122,86,4,82,italy
Holly Jolly Christmas,Michael Buble,adult standards,2011,151,43,61,-9,9,74,122,86,4,82,malasya
I Saw Mommy Kissing Santa Claus,The Jackson 5,adult standards,1970,129,71,58,-8,82,61,181,26,5,84,world
I Saw Mommy Kissing Santa Claus,The Jackson 5,adult standards,1970,129,71,58,-8,82,61,181,26,5,84,belgium
I Saw Mommy Kissing Santa Claus,The Jackson 5,adult standards,1970,129,71,58,-8,82,61,181,26,5,84,canada
I Saw Mommy Kissing Santa Claus,The Jackson 5,adult standards,1970,129,71,58,-8,82,61,181,26,5,84,usa
I'll Be Home for Christmas,Michael Buble,adult standards,2011,82,11,25,-14,16,15,268,94,3,78,africa
I'll Be Home for Christmas,Michael Buble,adult standards,2011,82,11,25,-14,16,15,268,94,3,78,canada
It's Beginning to Look a Lot Like Christmas,Perry Como,adult standards,1999,113,28,73,-12,12,72,156,76,6,88,world
It's Beginning to Look a Lot like Christmas,Michael Buble,adult standards,2011,93,22,33,-11,34,36,207,88,3,84,world
It's Beginning to Look a Lot like Christmas,Michael Buble,adult standards,2011,93,22,33,-11,34,36,207,88,3,84,africa
It's Beginning to Look a Lot like Christmas,Michael Buble,adult standards,2011,93,22,33,-11,34,36,207,88,3,84,australia
It's Beginning to Look a Lot like Christmas,Michael Buble,adult standards,2011,93,22,33,-11,34,36,207,88,3,84,belgium
It's Beginning to Look a Lot like Christmas,Michael Buble,adult standards,2011,93,22,33,-11,34,36,207,88,3,84,canada
It's Beginning to Look a Lot like Christmas,Michael Buble,adult standards,2011,93,22,33,-11,34,36,207,88,3,84,germany
It's Beginning to Look a Lot like Christmas,Michael Buble,adult standards,2011,93,22,33,-11,34,36,207,88,3,84,chile
It's Beginning to Look a Lot like Christmas,Michael Buble,adult standards,2011,93,22,33,-11,34,36,207,88,3,84,spain
It's Beginning to Look a Lot like Christmas,Michael Buble,adult standards,2011,93,22,33,-11,34,36,207,88,3,84,usa
It's Beginning to Look a Lot like Christmas,Michael Buble,adult standards,2011,93,22,33,-11,34,36,207,88,3,84,italy
It's Beginning to Look a Lot like Christmas,Michael Buble,adult standards,2011,93,22,33,-11,34,36,207,88,3,84,malasya
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,113,28,73,-12,12,72,156,76,6,88,africa
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,113,28,73,-12,12,72,156,76,6,88,belgium
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,113,28,73,-12,12,72,156,76,6,88,canada
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,113,28,73,-12,12,72,156,76,6,88,usa
It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,202,60,24,-8,12,78,152,77,4,92,world
It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,202,60,24,-8,12,78,152,77,4,92,africa
It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,202,60,24,-8,12,78,152,77,4,92,australia
It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,202,60,24,-8,12,78,152,77,4,92,belgium
It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,202,60,24,-8,12,78,152,77,4,92,canada
It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,202,60,24,-8,12,78,152,77,4,92,germany
It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,202,60,24,-8,12,78,152,77,4,92,usa
It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,202,60,24,-8,12,78,152,77,4,92,italy
It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,202,60,24,-8,12,78,152,77,4,92,malasya
Jingle Bell Rock,Bobby Helms,adult standards,1992,120,42,75,-8,7,81,131,64,4,92,world
Jingle Bell Rock,Bobby Helms,adult standards,1992,120,42,75,-8,7,81,131,64,4,92,africa
Jingle Bell Rock,Bobby Helms,adult standards,1992,120,42,75,-8,7,81,131,64,4,92,australia
Jingle Bell Rock,Bobby Helms,adult standards,1992,120,42,75,-8,7,81,131,64,4,92,belgium
Jingle Bell Rock,Bobby Helms,adult standards,1992,120,42,75,-8,7,81,131,64,4,92,bolivia
Jingle Bell Rock,Bobby Helms,adult standards,1992,120,42,75,-8,7,81,131,64,4,92,canada
Jingle Bell Rock,Bobby Helms,adult standards,1992,120,42,75,-8,7,81,131,64,4,92,germany
Jingle Bell Rock,Bobby Helms,adult standards,1992,120,42,75,-8,7,81,131,64,4,92,chile
Jingle Bell Rock,Bobby Helms,adult standards,1992,120,42,75,-8,7,81,131,64,4,92,usa
Jingle Bell Rock,Bobby Helms,adult standards,1992,120,42,75,-8,7,81,131,64,4,92,italy
Jingle Bell Rock,Bobby Helms,adult standards,1992,120,42,75,-8,7,81,131,64,4,92,malasya
Jingle Bells,Michael Buble,adult standards,2011,123,58,71,-6,14,83,162,70,6,75,australia
Jingle Bells,Michael Buble,adult standards,2011,123,58,71,-6,14,83,162,70,6,75,canada
Joy To The World,Nat King Cole,adult standards,1962,102,34,55,-10,11,66,85,82,3,84,canada
Joy To The World,Nat King Cole,adult standards,1962,102,34,55,-10,11,66,85,82,3,84,usa
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,1959,134,24,45,-14,18,70,117,91,4,89,world
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,1959,134,24,45,-14,18,70,117,91,4,89,africa
